variable	Hazard_Ratio
HOXD13	1.48
HSPA4L	1.48
IFIH1	0.68
IL18BP	0.68
IRF6	0.68
KLF6	0.68
LACTB	0.67
LCN6	0.68
LTV1	0.67
MED31	1.48
MEIS3	1.48
MICOS10.NBL1	1.47
MIER3	1.48
MXRA5	0.67
MYT1	1.48
NAT9	1.48
NMU	1.47
NOD2	0.67
OR2J3	1.58
OTUD6B	1.48
OXR1	1.47
PABPC1	1.48
PCDHGA6	1.48
PDXP	1.49
PDZD11	1.47
PELP1	1.48
PFKFB1	0.68
PHYHIPL	1.47
PIWIL4	0.67
PLPP2	1.48
POR	1.48
PPIL4	0.67
PRELID3B	1.48
PTCH2	0.68
PTPRCAP	0.68
RAB22A	1.48
RAB9B	1.49
RASL10B	1.48
RBP5	0.68
RPAIN	1.48
RPL37	1.48
RPL6	1.48
RPS21	1.47
SCN3A	0.68
SEH1L	1.48
SHISAL2B	1.91
SHOC2	0.67
SIGLEC1	0.68
SLC8A1	0.68
SMAGP	1.48
SNAPC1	1.49
SNRPN	1.48
SPR	1.48
SPRED2	1.48
SQOR	0.68
SRCIN1	1.48
ST13	1.47
ST18	0.68
STAB1	0.68
STAP1	0.68
STK17B	0.68
SUV39H2	1.48
SV2A	1.48
TAFA3	1.48
TCOF1	0.67
TIMM22	1.48
TMEM127	1.48
TMEM216	1.48
TMEM39A	1.48
TMEM41B	1.48
TMEM86B	0.68
TNFRSF10C	0.68
TNFRSF17	0.67
TRAM1L1	1.48
TRIM71	1.48
UCP2	0.67
VMP1	1.48
VPS26A	1.49
XKR5	1.48
ZNF426	1.48
ZSCAN22	1.48
ABCC3	0.68
AC240274.1	0.68
ADAL	1.47
ANGPTL4	1.47
ARHGEF16	1.47
ATP6V0E1	1.47
ATXN7	0.68
C1QA	0.68
C6	0.68
CBLN4	1.47
CCR8	0.68
CD209	0.68
CD22	0.68
CDK11B	0.68
CNOT9	1.46
COX6A1	1.47
CPSF6	1.47
CRY2	0.68
DCAF4L2	1.46
DIRAS1	1.47
DONSON	1.47
DRC3	1.47
DTX3L	0.68
EEF1A2	1.47
EFCAB3	1.5
ELOC	1.47
FAM126A	1.46
FOLH1	1.47
GXYLT1	1.47
HACL1	0.68
HIKESHI	1.46
HSPG2	0.68
IL12RB1	0.68
IRF2	0.68
ITIH1	0.68
JAKMIP2	0.68
KCNK10	0.68
KLHL35	1.47
LRP12	1.47
LTA	0.68
LYRM2	1.47
MAGEF1	1.46
MDFI	1.46
MLYCD	0.68
MRPL13	1.47
MTHFD1L	0.68
MYO15B	0.68
NCF2	0.68
NCR3	0.68
NDRG3	1.47
NMD3	1.47
NONO	1.47
OLIG1	1.47
OR2T3	0.59
OR5AN1	0.52
PACRGL	1.47
PARD3B	0.68
PARVA	1.47
PDCD1LG2	0.68
PGM5	0.68
PIK3C2B	0.68
PIM1	0.68
PIWIL2	0.68
PLA2G12A	1.47
PM20D2	1.47
PRKD2	0.68
PRPS1	0.68
PTPRT	0.68
PXMP2	1.47
PYGO1	1.47
RPL38	1.47
SECTM1	0.68
SLC25A33	1.46
SLC35G1	1.48
SLC8A2	1.47
SMIM26	1.47
SPATA31A1	1.47
STRAP	1.47
STT3A	1.47
STX1A	1.47
SYTL5	1.47
TCEAL9	1.46
TEAD3	1.47
TENM4	0.68
THAP12	1.46
TIPRL	1.47
TMEM150A	1.47
TMEM151B	1.47
TMEM237	1.47
TOMM22	1.47
UBE2C	1.46
UBXN8	1.46
USP46	1.47
WDR44	0.68
ZNF763	0.68
ABCC11	1.46
AC010422.8	1.46
AC018755.2	0.68
ACTR3C	0.68
AFF4	1.46
AHCY	1.46
ANGEL2	1.46
ANO6	0.69
ARHGAP44	0.69
ARHGEF19	1.45
ARMCX3	1.46
ASPH	1.46
AXL	0.69
BCL11B	0.69
BCL2L13	1.46
BEND3	1.46
C17orf80	1.46
C4B	0.69
CCL21	0.68
CD74	0.69
CDK20	1.46
CHMP4B	0.68
CHN2	0.69
CKAP4	1.46
CNIH1	1.46
COA8	1.46
CPEB1	1.46
DHX38	0.68
DIMT1	1.46
DPPA4	0.68
EGF	1.45
EIF5A	1.45
ELOVL2	1.46
FIBCD1	1.46
FIGNL1	1.46
FKBP15	0.68
FLT4	0.68
GDF11	1.46
GINS4	1.45
GMFG	0.69
GNG11	1.46
HHLA2	0.69
HOXB3	1.46
IFNL1	0.68
IQGAP1	0.69
IRF5	0.68
KLHDC4	0.69
LILRB3	0.69
LINGO1	1.46
LLGL1	1.46
LYN	0.68
MEGF6	0.69
MFF	1.47
MGP	1.46
MRPS10	1.46
MS4A6A	0.69
MTHFD2L	1.46
MUSK	0.68
NAP1L5	1.46
NBPF26	0.68
NDUFC1	1.46
NEMP2	1.46
NTRK3	0.69
OCIAD1	1.46
PAQR9	1.51
PKNOX1	1.46
PPP1R16A	1.46
PRAMEF20	1.71
PSMB10	0.68
PSMB9	0.69
PTTG2	0.68
RAB23	1.46
RBPMS2	1.46
RPRD1A	1.46
RPUSD3	1.46
RYBP	1.46
SATL1	1.51
SCRIB	1.46
SEM1	1.46
SKP1	1.46
SLC12A6	0.69
SLC16A13	0.69
SLC22A7	1.66
SLC39A10	1.46
SPATC1	0.69
SRD5A3	1.46
TAZ	0.69
TEK	0.69
TMEM120A	1.45
TMEM182	1.46
TMEM256	1.46
TMEM62	0.68
TNKS2	0.69
TPSB2	0.68
TREML1	0.69
TRIB3	1.46
TRIM54	1.46
TTC16	0.68
TXNDC15	1.46
TXNDC9	1.46
USP14	1.46
UTRN	0.68
ZBTB16	0.69
ZNF706	1.46
ZRANB2	1.46
ABCC1	0.69
AC068580.4	0.69
ACSM1	0.69
AKAP6	1.45
ANXA7	0.69
AP3M2	1.45
BCAP29	1.45
C16orf54	0.69
C1D	1.45
C1QBP	1.45
C6orf223	1.45
CAMK2D	0.69
CATSPERG	0.69
CBX1	1.45
CDHR4	0.69
CENPL	1.45
CILK1	1.45
CLTA	1.45
CMTR2	1.45
CNTN6	1.45
CNTNAP5	1.45
CREB3L1	0.69
CRK	1.45
CXCL9	0.69
DEK	1.45
DENND1A	0.69
DEPDC1	1.45
DESI1	1.45
DUSP19	1.45
EDNRB	1.46
EFCAB8	0.69
FAM219B	1.45
FHL3	1.45
GAK	0.69
GGCT	1.45
GIPC3	1.45
GPAT2	0.69
GPR19	1.45
GTF2H4	1.45
HEPHL1	1.44
HSPH1	1.45
IDO1	0.69
IFTAP	1.45
IGSF11	1.45
IL2RB	0.69
IPCEF1	0.69
ITGA8	0.69
KHDC3L	1.98
KLHL29	1.45
LAMA3	0.69
MAPK8IP2	1.45
MRPL51	1.45
N6AMT1	1.45
NBPF10	0.69
NFKB1	0.69
NPHS1	0.68
PDRG1	1.45
PIANP	1.45
PLAG1	1.45
PPAT	1.45
PRAMEF12	1.7
RSPO4	1.45
RTN2	1.45
RTP4	0.69
SELENOF	1.45
SENP3.EIF4A1	1.45
SI	1.87
SLC38A2	1.45
SMARCD3	1.45
SP110	0.69
SPARC	1.45
SPC25	1.45
SRSF12	1.45
STX4	0.69
TBC1D22A	0.69
TMEM177	1.46
TMEM209	1.45
TPST1	1.45
TRIAP1	1.45
TUB	1.45
TUBGCP2	0.69
USF2	0.69
VAMP5	0.69
VWA7	0.69
ZAR1	1.48
ZFP36	0.69
ZNF529	1.45
AC002996.1	0.69
AC008758.5	1.44
AC010463.1	1.89
ACTL6A	1.44
AMER1	0.69
ARHGAP25	0.69
ARL6IP1	1.45
BLCAP	1.44
BYSL	1.45
C8orf82	1.44
CA9	1.44
CDC40	0.69
CENPS	1.44
COPS2	1.44
CRIPT	1.44
CSF2RA	0.69
CSRP1	1.44
DKKL1	1.44
ENC1	1.44
ETV2	1.44
FAM168A	1.44
GPATCH4	1.45
GRK2	0.69
IFT122	0.69
IL1RL2	0.69
KDELR1	1.44
KHSRP	1.44
LNPK	1.44
MFAP2	1.44
MISP3	1.44
MMRN1	0.69
MRPL32	1.44
MRPL9	1.44
NGRN	1.45
NYX	1.46
PAK4	1.45
PBK	1.44
PDGFRA	0.69
PIGP	1.44
PLAC8L1	1.44
POF1B	0.69
PPM1E	1.44
PPP3CC	0.69
RBM48	1.45
RPL28	1.44
RUSC2	1.44
SDK1	0.69
SMIM11A	1.44
SMPD3	0.69
SPRYD7	1.45
SRP19	1.44
STAT1	0.69
STK32A	1.45
SYTL1	0.69
TARBP2	1.45
TAX1BP3	1.44
TCP11L2	0.69
TMEM167A	1.44
TMEM176B	0.69
TMPRSS3	0.69
TOMM34	1.45
TRIM2	1.44
TTC13	0.69
UBXN2A	1.44
UGDH	1.44
ZFAND2A	1.45
ZNF90	0.69
AC011330.3	0.69
AGAP2	0.7
AL360181.3	0.7
ATP6V1H	1.44
BAIAP2L2	1.43
BEND4	0.7
CBX5	1.44
CDCA3	1.43
CDKL3	1.43
CFAP91	0.7
CLIC2	0.7
COL5A1	0.69
COX16	1.44
EIF4EBP1	1.44
EMG1	1.44
EPHB2	0.7
EPM2A	0.7
ESYT1	0.7
FNDC1	0.7
GABARAP	1.44
GABRA3	1.44
GADD45G	0.7
GOLGA6L4	0.69
GRAP	0.7
GTF2IRD2B	0.7
HGH1	1.43
IFIT5	0.7
IGF2BP1	1.43
IQCN	0.7
MFSD5	1.44
MRPL36	1.44
MYH3	0.69
NDUFA4	1.44
NTN5	0.7
OBI1	1.44
ODF3B	0.7
OGDH	0.7
P2RX6	1.43
PADI3	1.43
PAQR7	1.44
PDXDC1	0.7
PIGH	1.44
PNOC	0.7
POLR2K	1.43
PRKAG1	1.44
PRR5.ARHGAP8	0.7
PRXL2C	1.44
PTRH2	1.44
RAD51AP1	1.43
RCN1	1.44
SDCBP	1.43
SEL1L3	0.7
SHLD2	0.69
SLC35E1	1.44
SLC38A5	0.7
SORCS2	1.44
STK32B	1.44
SYN3	1.44
TFB2M	1.44
TGDS	1.44
TOMM6	1.43
ZNF304	1.44
ZSWIM3	1.44
AASDHPPT	1.43
ADAMTS2	0.7
ADAMTSL3	0.7
AKAP17A	0.7
APOC3	1.5
APP	1.43
ARNT2	1.43
BACE1	1.43
CCR6	0.7
CD302	1.43
CD86	0.7
CDHR5	0.7
CHPF	1.43
CHRNA1	0.7
CLVS2	1.42
CMPK2	0.7
CMTM4	1.43
CSTF3	1.43
CYTH1	0.7
DCP1B	1.43
DMGDH	0.7
DRG1	1.43
EMILIN1	1.43
ENSA	1.43
FAM200A	1.43
FAM234B	1.43
FCRL4	0.68
FGG	1.43
GNMT	0.7
GNRH2	1.43
GTF3C3	1.43
GUCY2C	0.7
HLA.DRB5	0.7
HOXB8	1.43
HSBP1	1.43
HSPA13	1.43
IFNGR1	0.7
IFT52	1.43
IL17REL	0.69
KRT5	0.7
LAP3	0.7
LILRA5	0.7
M1AP	0.7
MINDY2	1.43
MRPL15	1.43
NAT14	1.43
NDUFA11	1.43
NUP58	1.43
OAS2	0.7
P2RY10	0.7
PAICS	1.43
PCDH7	1.43
PLCB4	1.43
PLCH1	1.43
POPDC3	1.43
PRTN3	1.51
PTPRZ1	1.43
RAB1A	1.43
RAB2A	1.43
RARG	1.43
RASA4B	0.7
RBMS2	1.43
RCSD1	0.7
RNF34	0.7
SAP30	1.43
SCN10A	0.67
SEMA4G	1.43
SEPHS1	1.43
SH3BGR	1.43
SLC23A1	0.7
SLC25A36	1.43
SMOC2	0.7
SNCAIP	0.7
SPIN1	1.43
SRD5A1	1.43
SSB	1.43
SSTR3	0.7
STMP1	1.43
SYNE3	0.7
TCIRG1	0.7
TGFB1	0.7
TIMM10	1.43
TMA16	1.43
TOM1	1.43
TONSL	1.43
TSHR	0.7
TSPAN9	1.43
TTL	1.43
TXNL4B	1.43
UAP1	1.43
VAC14	0.7
VNN2	0.7
XKR4	0.7
XPO1	1.43
ZC3H12D	0.7
ZNF697	1.43
ZNF99	0.7
ADAMTS15	0.7
ADGRF5	0.7
AL357075.4	0.7
AUP1	1.42
CACNA1E	0.7
CBX3	1.42
CDK2AP1	1.42
CNOT7	1.42
CTDNEP1	1.43
CUTA	1.42
CYP51A1	1.42
DLX6	1.42
EED	1.43
EMCN	1.42
FABP7	1.42
FAM76A	0.7
FOXE1	1.42
GOLGA8H	0.7
GOLT1B	1.42
GPR31	0.7
GPR62	1.42
GPSM1	1.42
GTF2H3	1.43
HDX	1.42
IQSEC1	0.7
KIAA0895L	1.42
LHFPL3	1.43
LPCAT1	1.42
LYSMD3	1.42
MAGEA6	1.42
MAP3K13	1.42
MEDAG	0.7
MFAP3	1.43
MOGAT2	0.67
MRO	1.42
OR1L8	0.7
PANK3	1.43
PANK4	0.7
PARD6G	1.43
PCDHAC2	1.42
PIK3R6	0.7
PKD2L2	1.43
PPP2R3B	0.7
PTK7	1.43
RAB4A	1.43
RALGAPA2	0.7
RBM6	0.7
RECQL4	1.42
RHEB	1.42
RNF168	0.7
RPL35A	1.42
SAMD9	0.7
SHISA2	1.42
SLC15A3	0.7
SLC39A9	1.43
SRSF9	1.42
SYMPK	0.7
SYNE2	0.7
SYS1	1.42
TBC1D16	1.43
TBC1D7	1.43
TC2N	0.7
TIMM8A	1.42
TNFAIP8	0.7
TOMM7	1.42
TRMT10C	1.42
TTC24	0.7
UFM1	1.43
URM1	1.43
VAMP2	1.43
VWA5A	0.7
WNK4	1.42
Z82206.1	0.7
ZBTB44	1.42
ZHX2	0.7
ZNF385B	0.7
ZNF614	1.42
ZNF618	1.43
ABCA7	0.71
ABCB9	1.42
AC090517.4	0.71
APPL2	1.42
AQP5	1.42
ARHGEF28	0.71
ARV1	1.42
B3GNT5	1.42
BCL2L14	0.71
CBFB	1.42
CCDC83	1.66
CEP250	0.71
COMMD10	1.42
CSPG5	1.42
DACH1	0.71
DCLRE1A	1.42
DPT	0.7
DSG2	1.42
DVL3	1.42
EEF1E1	1.42
ELOVL4	1.42
EMB	0.71
ETF1	1.42
ETV4	1.42
FDCSP	0.71
FGA	1.44
FNDC5	1.42
GATC	1.42
GLYCTK	0.71
GPR171	0.7
GPS1	1.42
HAS2	1.42
HDAC8	1.42
HID1	0.71
IL22RA2	0.69
IQCG	0.7
IQUB	1.42
KCND3	0.71
KIF16B	0.71
KLHL34	0.71
KLRK1	0.71
LAMTOR1	1.42
LGALS3BP	1.42
LPCAT4	0.7
LRRC14	1.42
MAP2K4	1.42
METAP1D	1.42
METRN	1.42
MMP15	1.42
MRPS11	1.42
MSANTD3.TMEFF1	1.42
MYCN	0.7
NAE1	1.42
NBPF12	0.7
NCLN	1.42
NID2	0.7
NOTCH2NLC	0.71
NRG4	1.42
PAX2	1.53
PCDHA2	1.42
PLXDC2	0.7
POLR3G	1.42
PON1	0.71
PPIAL4E	0.62
PRIMA1	1.42
PRSS35	1.42
PTTG1IP	1.42
RAB38	1.42
RAI14	1.42
RARRES1	0.7
RBM19	0.71
RCBTB1	1.42
RNFT1	1.42
RPS10	1.42
RPS27L	1.42
RPS7	1.42
SASH3	0.7
SCOC	1.42
SELENOI	1.42
SFXN4	1.42
SGK3	1.42
SHISA8	0.66
SLC5A6	1.42
SLITRK4	0.71
SMIM10	1.42
TCF4	0.7
TFPI2	1.42
THEMIS2	0.7
TLR7	0.71
TMEM126A	1.42
TMEM63A	0.71
TNIP3	0.7
TNNI2	0.7
TNPO1	1.42
TTC23L	1.42
TWF1	1.42
UNC13B	0.71
UNC50	1.42
ZHX3	1.42
ZNF114	1.42
ZNF189	1.42
ZNF232	1.42
ZNF683	0.71
ADAP2	0.71
AIF1L	1.42
ALYREF	1.41
ARHGAP10	0.71
ARL6	1.41
ARMC1	1.41
ASMT	0.71
CCDC191	0.71
CCM2	0.71
CDC20B	1.42
CETP	0.71
DAND5	1.41
DCAF16	1.41
DYRK4	1.42
EBPL	1.41
FAM174B	1.41
FAM222B	1.41
FBLN5	0.71
FBXO17	1.42
FBXO45	1.42
FGF10	0.71
HOXD9	1.41
HS3ST5	1.41
HSD17B14	1.41
IKZF1	0.71
JUN	0.71
KIAA1549	1.41
KRTAP29.1	0.56
LFNG	0.71
MARK1	1.41
MMGT1	1.41
MPP2	1.41
MTMR8	0.71
NGLY1	0.71
NOP16	1.41
NPAS3	1.41
OR2T5	0.51
OTOA	0.71
PASK	0.71
PFDN2	1.41
PRELID2	1.41
PSORS1C2	1.41
RAB19	0.71
RAN	1.41
RBM17	0.71
RNF10	1.41
RPL8	1.41
RRP1B	1.41
RTL8C	1.41
SETBP1	0.71
SMAD3	0.71
SSR3	1.41
TIGD7	1.42
TMEM17	1.41
TNPO2	1.41
TRAK1	0.71
TRIM66	0.71
TRIML1	1.7
ZBTB12	1.42
AC233755.2	0.71
ARHGAP27	0.71
BCAN	1.41
BCL7B	1.41
CCDC17	0.71
CCNT1	1.41
CDK4	1.41
CEMIP2	0.71
CLRN1	1.59
CNN3	1.41
COPRS	1.41
CWF19L1	0.71
CXCL14	0.71
CYP1B1	0.71
DMRT1	1.58
EMILIN3	1.41
ERH	1.41
FAM229B	1.41
GCNA	0.71
GTPBP10	1.41
HOXA6	1.41
HS2ST1	1.41
HSD11B1L	1.41
ITGAM	0.71
KCNU1	0.71
KRT73	0.7
LCOR	0.71
LRTM2	1.47
LSM5	1.41
MAPKAPK2	0.71
MEFV	0.71
MIF	1.41
MORN4	1.41
MRPL10	1.41
NOD1	0.71
NRGN	1.41
OR6B3	1.75
PAF1	0.71
PAM16	1.41
PEX2	1.41
PLIN1	0.71
POFUT2	1.41
POLR2F	1.41
PSD4	0.71
PSMB5	1.41
RAB40AL	0.71
RNF175	1.41
SERPINB2	1.41
SIRT5	1.41
SLAIN1	0.71
SOX11	1.41
SRSF10	1.41
TAP1	0.71
TBC1D2	0.71
TBCB	1.41
TCAF2	0.71
TMEM258	1.41
TMEM41A	1.41
TOLLIP	1.41
UBE2K	1.41
UBE2V1	1.41
WWOX	0.71
ZCCHC24	1.41
ZNF32	1.41
ZNF639	1.41
ADGRB2	1.4
ADGRD1	0.71
AMOT	1.4
C17orf58	1.4
CATSPERB	0.71
CCDC28B	1.4
CCDC80	0.71
CCNI	1.4
CD164	1.4
CD38	0.71
CD8B2	0.71
COMMD6	1.41
CRADD	1.4
CYP4F22	0.71
DGKA	0.71
DLEU7	1.4
DPY19L3	1.4
DVL2	1.4
ERICH1	0.71
FAAH2	0.71
FHAD1	0.71
FILIP1	0.71
GALM	0.71
GATA4	1.4
GIT1	1.4
GMFB	1.4
GP5	0.71
GPATCH1	0.71
GPR183	0.71
GPR85	1.4
HLA.DQB1	0.71
HS3ST3B1	0.71
INSL3	0.71
ITGA6	0.71
KDM7A	0.71
KHK	0.71
MAPK12	1.4
MARVELD1	1.41
MGST2	1.4
MICB	0.71
MLANA	1.4
MYOM1	0.71
NAP1L1	1.41
NOTCH2	0.71
NPIPB3	0.71
NUDT15	1.4
PER3	0.71
PLAAT4	0.71
PLEC	0.71
RCHY1	1.4
RFTN2	1.4
RGPD2	0.71
RILPL2	0.71
RNF215	1.4
SLC16A4	1.41
SLIT2	0.71
ST20	1.4
TBL1XR1	1.4
TCTA	1.4
TRIM41	0.71
UGT2B7	1.4
USP27X	1.41
WAPL	0.71
XPC	0.71
YAE1	1.4
ZBTB32	0.71
ZBTB40	0.71
ANKRD33B	0.71
ATP5MC2	1.4
B4GALT3	1.4
BIVM	1.4
CBR4	1.4
CCNG1	1.4
CDC6	1.4
CHRD	0.71
CLEC12A	0.72
COMMD5	1.4
CUTC	0.72
DMBT1	0.71
ELOB	1.4
EVC2	0.71
FLNA	0.71
GAS7	1.4
GPS2	1.4
GTF2H1	1.4
HAUS4	1.4
IFITM3	1.4
ITPR2	0.71
LCE5A	1.42
OR5AK2	0.61
PGRMC1	1.4
PROKR2	0.71
RALGPS1	0.72
RFNG	1.4
RGPD1	0.71
RGPD8	0.71
RP1L1	0.71
RPL5	1.4
SEMA4C	1.4
SEPTIN7	1.4
SERPINA3	1.4
SETD4	1.4
SH3RF2	0.72
SLC6A7	0.71
SMIM20	1.4
SPEGNB	1.4
SPPL3	1.4
SRSF5	0.72
TGFA	1.4
TMEM251	1.4
TRUB2	1.4
TSN	1.4
ZNF257	0.71
ZP3	1.4
ADCK5	1.4
AP1AR	1.4
ARL5C	0.69
ARMT1	1.39
ATP6V1C2	1.4
AUNIP	1.4
BCL2L15	0.72
C12orf75	0.72
CADPS	0.72
CAPN8	0.72
CDCP2	0.7
CDK6	1.39
CLEC2D	0.72
COIL	1.39
COMMD7	1.4
DCTN6	1.4
DGKD	0.72
DIAPH1	0.72
DLL1	0.72
DMAC1	1.4
DNAJC24	1.4
DYNLT3	1.39
EHHADH	1.4
ELN	0.72
FAM163A	1.39
FCER1A	0.72
FGF17	1.39
FYB1	0.72
GCOM1	0.72
GNAQ	1.4
GOLGA8A	0.72
HOXC12	1.39
HSD17B11	1.39
IL9R	0.72
KCNS1	1.4
KDELR2	1.4
KIF18B	1.4
KIR2DL4	0.72
KPTN	1.4
KRT7	0.72
LIAS	1.4
MICU3	1.4
MITF	1.4
MPLKIP	1.4
MRPL30	1.4
MUC1	0.72
MX1	0.72
MYO9B	0.72
NUTM2B	0.72
OSBPL3	0.72
P3H4	1.4
PANK1	1.4
PAPSS1	1.39
PCSK5	0.72
PDHA2	1.72
PRRT1	1.4
PVRIG	0.72
RAB3C	1.4
RPS6KA2	0.72
SETD9	1.39
SFRP4	0.72
SLC37A3	1.39
SLC6A12	0.72
SPI1	0.72
SYNE1	0.72
TERF2IP	1.4
TLR9	0.72
TMBIM4	1.39
TMED3	1.39
TRIP13	1.39
UBD	0.72
UQCRQ	1.4
WTAP	0.72
ZNF597	1.4
ZNF880	1.4
AC025165.6	1.39
ACSF3	0.72
ACSL5	0.72
AKT3	1.39
ANGPT4	0.72
ANKRD23	0.72
ANKRD54	1.39
ARHGAP22	0.72
ATF1	1.39
ATL2	1.39
BTN2A2	0.72
C12orf76	1.39
C4orf45	1.5
CCDC12	0.72
CCNDBP1	0.72
CD320	1.39
CYB5D1	1.39
DAPK1	0.72
DDIT3	1.39
DUT	1.39
ENTPD7	1.39
FAM210B	1.39
FASTKD3	1.39
FGD5	0.72
FRG2C	1.41
GALNT12	0.72
GIMAP8	0.72
GJC1	1.39
GK	0.72
GPR25	0.68
HSFX1	0.72
KBTBD6	1.39
LMAN2	1.39
LTBP2	0.72
MAPK13	0.72
MFN2	0.72
MGAT2	0.72
MRTO4	1.39
MTCL1	0.72
MZF1	1.39
NDUFB2	1.39
NFKBID	0.72
NOL11	1.39
NYAP1	1.39
PRADC1	1.39
PTOV1	1.39
RAVER2	1.39
RBM45	1.4
RCC2	1.39
RGS7BP	0.72
ROR2	0.72
RPA1	1.39
RPA3	1.39
RPS8	1.39
SAMSN1	0.72
SDC4	1.39
SEPTIN8	1.39
SERPINF2	0.72
SGSM1	0.72
SLC35B2	1.39
SMAP2	0.72
SNAI1	1.39
SOX4	1.39
SPART	1.39
SPOP	1.39
TCEA1	1.39
TIMM13	1.39
UBE2M	1.39
UNC13C	0.72
ZNF284	1.39
ZNF385D	0.72
ZNF664	1.39
ZYG11A	0.72
ADORA1	1.39
APPBP2	1.39
CCL25	0.71
CD48	0.72
CFH	0.72
CKLF.CMTM1	1.39
CRIP1	0.72
CYP39A1	1.39
DLG4	1.39
EMC7	1.39
EPOR	1.39
ERC1	0.72
F10	0.72
FXR2	1.39
HBG1	1.4
IER3	1.39
IRF9	0.72
KNL1	0.72
LAMA5	1.39
LAMTOR5	1.39
LRP3	1.39
LYRM7	1.39
MAGED2	1.39
MAP1LC3A	1.39
MARCHF5	1.39
MCM9	0.72
MLLT10	0.72
MRPS35	1.39
MZT1	1.39
NDUFV1	0.72
NENF	1.39
NTSR2	1.5
OIP5	1.39
PCDHB15	1.39
PDCD2L	1.39
PLK3	0.72
PPARGC1B	1.39
PPFIA1	0.72
PRSS3	1.39
RFC5	1.39
RNF5	1.39
RTN1	0.72
SAMHD1	0.72
SERPINE2	1.39
SLC52A2	1.39
SLC9A9	0.72
SYBU	0.72
TLCD1	1.39
TM2D3	1.39
TMEM63C	0.72
TOR1AIP2	1.39
TSPAN32	0.72
TTC39B	0.72
TUT7	0.72
TYK2	0.72
TYMP	0.72
UBE2H	1.39
UBL3	1.39
UNC93B1	0.72
VIPR1	0.72
YEATS4	1.39
YTHDF1	1.39
YTHDF2	1.39
ZNF285	1.39
ZNF322	1.39
AC105052.3	0.72
ACVRL1	0.72
AFDN	0.72
ARSG	0.72
BCHE	1.39
CASP10	0.72
CCDC74B	1.39
CCL5	0.72
CDCA5	1.38
CDHR3	0.72
CEACAM20	0.61
CNIH4	1.39
COMMD4	1.38
CSF2	0.72
CTDSPL	1.39
DDX51	1.39
DEPTOR	0.72
DNAH6	0.72
EI24	1.38
FABP6	1.38
FBP1	0.72
FOXL2	1.38
FOXP3	0.72
GSTM4	0.72
HLF	0.72
HOXA9	1.38
HOXB7	1.38
ITIH2	1.38
KCNQ2	1.38
LRP11	1.39
LYPLAL1	1.39
MPP1	0.72
MYO1D	0.72
NKX2.5	1.38
PJA1	1.39
PLPPR5	1.39
PRKAR2B	1.39
PTAFR	0.72
RABL2A	0.72
RPS23	1.38
SHARPIN	1.39
SLC24A2	1.38
SORT1	1.39
SPRN	1.38
TEN1	1.39
TMEM229B	1.38
TRAFD1	0.72
TSG101	1.38
UPK3A	0.72
WDR49	0.72
WDTC1	0.72
Z83844.1	0.72
ZFAND6	1.39
ZNF469	0.72
ZNF678	1.39
ZSWIM2	1.57
ACKR2	0.72
ACSM3	0.72
AKR1C2	0.72
AMPD1	0.72
ASIC3	0.72
ATAT1	1.38
ATG16L1	0.72
ATPSCKMT	1.38
B4GALT1	0.72
BTG3	1.38
C1QB	0.72
C6orf62	1.38
CCDC180	0.72
CEP104	0.72
CFAP97	1.38
CLN5	1.38
COMMD9	1.38
COMT	1.38
CRKL	1.38
DNAJC7	1.38
DRG2	1.38
EIF4B	1.38
FBXW4	0.72
FOXF1	0.72
FOXP1	0.72
GART	1.38
GATAD1	1.38
GFI1	0.72
GNA14	0.72
GNG7	1.38
GRINA	1.38
GUCY1A1	0.72
HEYL	1.38
IFT20	1.38
ITLN1	0.72
KLC3	1.38
LILRA2	0.72
LPXN	0.72
MAF1	1.38
MAP3K4	0.72
MCTP1	0.72
MCTP2	0.72
MRPL38	1.38
MRPS14	1.38
MYO16	0.72
NIPAL2	1.38
NKX6.1	1.38
NRIP1	1.38
PCDHB3	1.38
PIGR	0.72
PLGLB2	0.72
PLPP1	1.38
POLR1E	1.38
PPFIA4	1.38
RAC2	0.72
RNASEH2C	1.38
RNF2	1.38
RO60	1.38
RSPH4A	0.72
RUNDC3A	1.38
RXRG	1.38
SLC38A3	1.38
SLX1B	0.72
SPG7	0.72
ST6GALNAC2	1.38
STOML1	1.38
TGFBR2	0.72
TIMM9	1.38
TMEM107	1.38
TNFRSF19	1.38
TOMM40	1.38
TRIM73	0.72
UQCRB	1.38
USH1G	1.39
XCL1	0.72
ZNF600	0.72
ZNF781	1.38
ZNF891	1.38
ADGRG6	1.38
AGPAT1	1.38
AL049839.2	1.38
ANKRD7	1.38
ARL16	1.38
BANP	0.73
BET1	1.38
BIRC5	1.38
C17orf100	1.38
CCDC188	1.38
CCL4L2	0.73
CD274	0.73
CD40	0.73
CDKN2A	0.73
CENPO	1.38
CIAO2A	1.38
COL6A2	0.73
CRYBG2	0.73
DAPK2	0.73
EPAS1	0.73
FAM131A	1.38
FPGT.TNNI3K	0.73
GIMAP5	0.73
GPR156	1.38
HK1	0.73
HPCA	1.38
IL2RG	0.73
IRAK1	0.72
ITSN2	0.73
JAM3	1.38
LAS1L	0.73
MAGED4B	1.38
MED28	1.38
MINDY1	1.38
NEK7	1.38
NME1	1.38
OR10Q1	1.62
OR13A1	0.72
OR5J2	1.37
PABPC1L	1.38
PDZD3	0.72
PKDCC	1.38
